BankAngle BankDistance Bank_xpos Bank_ypos Bank_zpos
130.010000186 349.569835159 2.63682421275 -0.00866238865705 -2.29499237458
127.271442147 349.64994624 2.77598496502 -0.0124843185065 -2.12585514708
123.317540272 349.479417852 2.90225228064 -0.000990122611672 -1.94692502921
120.279935142 349.520946423 3.01881931649 -0.00664829351794 -1.76158307592
116.558148747 349.336902037 3.12155240211 -0.00748459158154 -1.5682734756
112.860189232 349.399793818 3.21420231567 -0.00970697870619 -1.36997475907
108.864355598 349.389080441 3.29356986123 -0.0116329893169 -1.16599107882
105.88195534 349.236213267 3.35864472524 -0.0121361447055 -0.957053597963
100.454176716 349.11616283 3.41080727309 -0.0122143342165 -0.744616727474
98.0344231075 349.187194574 3.45145540639 -0.00732631810958 -0.529690086908
95.0594497162 348.518795276 3.47118991858 -0.00868312640594 -0.311929829538
92.1136687798 349.051980281 3.4892392381 -0.00896864184725 -0.0941148052834
88.8766395703 349.517277111 3.49293830503 -0.00773961355392 0.12471886598
85.3193561209 349.354347203 3.4766281755 -0.0152099823211 0.343032326098
80.15515586 349.197694863 3.4468062121 -0.00705796674701 0.559803654094
77.6144329557 349.156535674 3.40458938215 -0.00683670888631 0.774437240008
72.8438792414 349.034681097 3.34824159045 -0.00864885481077 0.985760777336
70.5621974578 349.123145296 3.28075890327 -0.0146038989761 1.19377753493
65.7541717007 349.115813522 3.19953138481 -0.00471810570726 1.39683992719
64.3814678453 348.952874048 3.10432388969 -0.0118731291393 1.59368850386
57.9786466397 348.943194229 2.99835394811 -0.0125735843313 1.78489517527
56.3632735449 349.046995178 2.88156756196 -0.0101074417296 1.96973264931
52.8737693763 349.185545197 2.75367250721 -0.00932335714052 2.14715050602
49.4843198324 349.106384187 2.61321712208 -0.0141854051529 2.31482651513
44.4657229117 349.085690444 2.46301541865 -0.00568275368348 2.47378347499
42.4149455004 349.234023396 2.30424970126 -0.0125172503874 2.6242555025
37.4379017358 349.123810832 2.13473838473 -0.0103662965682 2.76252205378
35.41524568 349.202721429 1.95801330626 -0.00889946425265 2.89142849772
29.5896680841 348.93393046 1.77175832012 -0.00779330763982 3.00604399537
28.5774194641 349.082585039 1.58072247899 -0.00876749436261 3.11241139524
21.8339390657 348.825951495 1.38172336917 -0.00436890349715 3.20293238882
20.6835186121 348.895013249 1.17867796571 -0.012780457973 3.2837977922
15.6413106158 348.81653958 0.970529904203 -0.00642102706903 3.35042210832
12.9687046803 348.957022767 0.759142827366 -0.00606325882043 3.40598969147
8.97507637491 349.401431022 0.545080793902 -0.01 3.45122049833
5.38497318312 349.401431022 0.327902139883 -0.01 3.47857962201
-5.38503227339 349.401431022 -0.327905727411 -0.01 3.47857928384
-7.91877030377 349.167339377 -0.544714758358 -0.00905121573409 3.44891098701
-12.5693919643 349.118927753 -0.759496122673 -0.00341917082425 3.40757340646
-15.3616676823 348.938109223 -0.97087596867 -0.00861080710058 3.35158262829
-19.7036374351 349.10033887 -1.17937499781 -0.00787892607388 3.28574454226
-23.3897134097 349.123089078 -1.38289233608 -0.00656908519118 3.20566042598
-27.1488444271 348.824312736 -1.57955761684 -0.00668443437609 3.11011143996
-30.0474769384 349.102061619 -1.77259975346 -0.0130975995843 3.00748125673
-34.5120127834 349.109108153 -1.95747477374 -0.0170088951043 2.89062625518
-37.0744776814 349.228205606 -2.13537849803 -0.0098333821379 2.76334868119
-41.3085228662 349.257259359 -2.30441233966 -0.00522930949313 2.62444655969
-43.3467954073 348.647419636 -2.45992343474 -0.00354091691807 2.4706813795
-50.1245440005 347.697453727 -2.60267710706 -0.0127160126956 2.30548522274
-51.3816168566 347.271240846 -2.73856122624 -0.0144917332568 2.13536972716
