2018-09-24 13:09:06 Line Log cleared
2018-09-24 13:09:06 Starting IPTS-21153 on 2018-09-24
2018-09-24 19:06:41 Set Incident Energy to 20.0 meV
2018-09-24 19:06:41 Set Title: closed shutter, Ei=20 meV, run_in_series=0
2018-09-24 19:08:29 Set Title: closed shutter, Ei=20 meV, run_in_series=1
2018-09-24 19:10:17 Set Title: closed shutter, Ei=20 meV, run_in_series=2
2018-09-24 19:12:05 Set Title: closed shutter, Ei=20 meV, run_in_series=3
2018-09-24 19:13:53 Set Title: closed shutter, Ei=20 meV, run_in_series=4
2018-09-24 19:15:41 Set Title: closed shutter, Ei=20 meV, run_in_series=5
2018-09-24 19:17:30 Set Title: closed shutter, Ei=20 meV, run_in_series=6
2018-09-24 19:19:18 Set Title: closed shutter, Ei=20 meV, run_in_series=7
2018-09-24 19:21:06 Set Title: closed shutter, Ei=20 meV, run_in_series=8
2018-09-24 19:22:54 Set Title: closed shutter, Ei=20 meV, run_in_series=9
2018-09-24 19:24:42 Set Title: closed shutter, Ei=20 meV, run_in_series=10
2018-09-24 19:26:30 Set Title: closed shutter, Ei=20 meV, run_in_series=11
2018-09-24 19:28:18 Set Title: closed shutter, Ei=20 meV, run_in_series=12
2018-09-24 19:30:44 Set Title: closed shutter, Ei=20 meV, run_in_series=13
2018-09-24 19:32:32 Set Title: closed shutter, Ei=20 meV, run_in_series=14
2018-09-24 19:34:20 Set Title: closed shutter, Ei=20 meV, run_in_series=15
2018-09-24 19:36:08 Set Title: closed shutter, Ei=20 meV, run_in_series=16
2018-09-24 19:37:56 Set Title: closed shutter, Ei=20 meV, run_in_series=17
2018-09-24 19:39:44 Set Title: closed shutter, Ei=20 meV, run_in_series=18
2018-09-24 19:41:31 Set Title: closed shutter, Ei=20 meV, run_in_series=19
2018-09-24 19:43:19 Set Title: closed shutter, Ei=20 meV, run_in_series=20
2018-09-24 19:45:07 Set Title: closed shutter, Ei=20 meV, run_in_series=21
2018-09-24 19:46:55 Set Title: closed shutter, Ei=20 meV, run_in_series=22
2018-09-24 19:48:42 Set Title: closed shutter, Ei=20 meV, run_in_series=23
2018-09-24 19:50:30 Set Title: closed shutter, Ei=20 meV, run_in_series=24
2018-09-24 19:52:18 Set Title: closed shutter, Ei=20 meV, run_in_series=25
2018-09-24 19:54:06 Set Title: closed shutter, Ei=20 meV, run_in_series=26
2018-09-24 19:55:54 Set Title: closed shutter, Ei=20 meV, run_in_series=27
2018-09-24 19:57:42 Set Title: closed shutter, Ei=20 meV, run_in_series=28
2018-09-24 19:59:30 Set Title: closed shutter, Ei=20 meV, run_in_series=29
2018-09-24 20:01:18 Set Title: closed shutter, Ei=20 meV, run_in_series=30
2018-09-24 20:03:05 Set Title: closed shutter, Ei=20 meV, run_in_series=31
2018-09-24 20:04:53 Set Title: closed shutter, Ei=20 meV, run_in_series=32
2018-09-24 20:06:41 Set Title: closed shutter, Ei=20 meV, run_in_series=33
2018-09-24 20:08:29 Set Title: closed shutter, Ei=20 meV, run_in_series=34
2018-09-24 20:10:17 Set Title: closed shutter, Ei=20 meV, run_in_series=35
2018-09-24 20:12:05 Set Title: closed shutter, Ei=20 meV, run_in_series=36
2018-09-24 20:13:53 Set Title: closed shutter, Ei=20 meV, run_in_series=37
2018-09-24 20:15:41 Set Title: closed shutter, Ei=20 meV, run_in_series=38
2018-09-24 20:17:29 Set Title: closed shutter, Ei=20 meV, run_in_series=39
2018-09-24 20:19:16 Set Title: closed shutter, Ei=20 meV, run_in_series=40
2018-09-24 20:21:04 Set Title: closed shutter, Ei=20 meV, run_in_series=41
2018-09-24 20:22:52 Set Title: closed shutter, Ei=20 meV, run_in_series=42
2018-09-24 20:24:40 Set Title: closed shutter, Ei=20 meV, run_in_series=43
2018-09-24 20:26:28 Set Title: closed shutter, Ei=20 meV, run_in_series=44
2018-09-24 20:28:16 Set Title: closed shutter, Ei=20 meV, run_in_series=45
2018-09-24 20:30:04 Set Title: closed shutter, Ei=20 meV, run_in_series=46
2018-09-24 20:31:52 Set Title: closed shutter, Ei=20 meV, run_in_series=47
2018-09-24 20:33:40 Set Title: closed shutter, Ei=20 meV, run_in_series=48
2018-09-24 20:35:27 Set Title: closed shutter, Ei=20 meV, run_in_series=49
2018-09-24 20:37:15 Set Title: closed shutter, Ei=20 meV, run_in_series=50
2018-09-24 20:39:04 Set Title: closed shutter, Ei=20 meV, run_in_series=51
2018-09-24 20:40:51 Set Title: closed shutter, Ei=20 meV, run_in_series=52
2018-09-24 20:42:39 Set Title: closed shutter, Ei=20 meV, run_in_series=53
2018-09-24 20:44:27 Set Title: closed shutter, Ei=20 meV, run_in_series=54
2018-09-24 20:46:15 Set Title: closed shutter, Ei=20 meV, run_in_series=55
2018-09-24 20:48:02 Set Title: closed shutter, Ei=20 meV, run_in_series=56
2018-09-24 20:49:50 Set Title: closed shutter, Ei=20 meV, run_in_series=57
2018-09-24 20:51:57 Set Title: closed shutter, Ei=20 meV, run_in_series=58
2018-09-24 20:53:47 Set Title: closed shutter, Ei=20 meV, run_in_series=59
2018-09-24 20:55:35 Set Title: closed shutter, Ei=20 meV, run_in_series=60
2018-09-24 20:57:23 Set Title: closed shutter, Ei=20 meV, run_in_series=61
2018-09-24 20:59:11 Set Title: closed shutter, Ei=20 meV, run_in_series=62
2018-09-24 21:00:59 Set Title: closed shutter, Ei=20 meV, run_in_series=63
2018-09-24 21:02:47 Set Title: closed shutter, Ei=20 meV, run_in_series=64
2018-09-24 21:04:35 Set Title: closed shutter, Ei=20 meV, run_in_series=65
2018-09-24 21:06:23 Set Title: closed shutter, Ei=20 meV, run_in_series=66
2018-09-24 21:08:11 Set Title: closed shutter, Ei=20 meV, run_in_series=67
2018-09-24 21:09:59 Set Title: closed shutter, Ei=20 meV, run_in_series=68
2018-09-24 21:11:47 Set Title: closed shutter, Ei=20 meV, run_in_series=69
2018-09-24 21:13:35 Set Title: closed shutter, Ei=20 meV, run_in_series=70
2018-09-24 21:15:23 Set Title: closed shutter, Ei=20 meV, run_in_series=71
2018-09-24 21:17:11 Set Title: closed shutter, Ei=20 meV, run_in_series=72
2018-09-24 21:18:59 Set Title: closed shutter, Ei=20 meV, run_in_series=73
2018-09-24 21:20:47 Set Title: closed shutter, Ei=20 meV, run_in_series=74
2018-09-24 21:22:34 Set Title: closed shutter, Ei=20 meV, run_in_series=75
2018-09-24 21:24:22 Set Title: closed shutter, Ei=20 meV, run_in_series=76
2018-09-24 21:26:10 Set Title: closed shutter, Ei=20 meV, run_in_series=77
2018-09-24 21:27:58 Set Title: closed shutter, Ei=20 meV, run_in_series=78
2018-09-24 21:29:46 Set Title: closed shutter, Ei=20 meV, run_in_series=79
2018-09-24 21:31:33 Set Title: closed shutter, Ei=20 meV, run_in_series=80
2018-09-24 21:33:21 Set Title: closed shutter, Ei=20 meV, run_in_series=81
2018-09-24 21:35:09 Set Title: closed shutter, Ei=20 meV, run_in_series=82
2018-09-24 21:36:57 Set Title: closed shutter, Ei=20 meV, run_in_series=83
2018-09-24 21:38:45 Set Title: closed shutter, Ei=20 meV, run_in_series=84
2018-09-24 21:40:32 Set Title: closed shutter, Ei=20 meV, run_in_series=85
2018-09-24 21:42:20 Set Title: closed shutter, Ei=20 meV, run_in_series=86
2018-09-24 21:44:27 Set Title: closed shutter, Ei=20 meV, run_in_series=87
2018-09-24 21:46:20 Set Title: closed shutter, Ei=20 meV, run_in_series=88
2018-09-24 21:48:08 Set Title: closed shutter, Ei=20 meV, run_in_series=89
2018-09-24 21:49:56 Set Title: closed shutter, Ei=20 meV, run_in_series=90
2018-09-24 21:51:44 Set Title: closed shutter, Ei=20 meV, run_in_series=91
2018-09-24 21:53:31 Set Title: closed shutter, Ei=20 meV, run_in_series=92
2018-09-24 21:55:19 Set Title: closed shutter, Ei=20 meV, run_in_series=93
2018-09-24 21:57:07 Set Title: closed shutter, Ei=20 meV, run_in_series=94
2018-09-24 21:58:55 Set Title: closed shutter, Ei=20 meV, run_in_series=95
2018-09-24 22:00:43 Set Title: closed shutter, Ei=20 meV, run_in_series=96
2018-09-24 22:02:30 Set Title: closed shutter, Ei=20 meV, run_in_series=97
2018-09-24 22:04:18 Set Title: closed shutter, Ei=20 meV, run_in_series=98
2018-09-24 22:06:06 Set Title: closed shutter, Ei=20 meV, run_in_series=99
2018-09-24 22:07:53 Set Title: closed shutter, Ei=20 meV, run_in_series=100
2018-09-24 22:09:41 Set Title: closed shutter, Ei=20 meV, run_in_series=101
2018-09-24 22:11:29 Set Title: closed shutter, Ei=20 meV, run_in_series=102
2018-09-24 22:13:16 Set Title: closed shutter, Ei=20 meV, run_in_series=103
2018-09-24 22:15:03 Set Title: closed shutter, Ei=20 meV, run_in_series=104
2018-09-24 22:16:52 Set Title: closed shutter, Ei=20 meV, run_in_series=105
2018-09-24 22:19:01 Set Title: closed shutter, Ei=20 meV, run_in_series=106
2018-09-24 22:20:49 Set Title: closed shutter, Ei=20 meV, run_in_series=107
2018-09-24 22:22:37 Set Title: closed shutter, Ei=20 meV, run_in_series=108
2018-09-24 22:24:25 Set Title: closed shutter, Ei=20 meV, run_in_series=109
2018-09-24 22:26:13 Set Title: closed shutter, Ei=20 meV, run_in_series=110
2018-09-24 22:28:01 Set Title: closed shutter, Ei=20 meV, run_in_series=111
2018-09-24 22:29:49 Set Title: closed shutter, Ei=20 meV, run_in_series=112
2018-09-24 22:31:36 Set Title: closed shutter, Ei=20 meV, run_in_series=113
2018-09-24 22:33:24 Set Title: closed shutter, Ei=20 meV, run_in_series=114
2018-09-24 22:35:12 Set Title: closed shutter, Ei=20 meV, run_in_series=115
2018-09-24 22:37:00 Set Title: closed shutter, Ei=20 meV, run_in_series=116
2018-09-24 22:39:13 Set Title: closed shutter, Ei=20 meV, run_in_series=117
2018-09-24 22:41:00 Set Title: closed shutter, Ei=20 meV, run_in_series=118
2018-09-24 22:42:48 Set Title: closed shutter, Ei=20 meV, run_in_series=119
2018-09-24 22:44:36 Set Title: closed shutter, Ei=20 meV, run_in_series=120
2018-09-24 22:46:24 Set Title: closed shutter, Ei=20 meV, run_in_series=121
2018-09-24 22:48:12 Set Title: closed shutter, Ei=20 meV, run_in_series=122
2018-09-24 22:49:59 Set Title: closed shutter, Ei=20 meV, run_in_series=123
2018-09-24 22:51:47 Set Title: closed shutter, Ei=20 meV, run_in_series=124
2018-09-24 22:53:35 Set Title: closed shutter, Ei=20 meV, run_in_series=125
2018-09-24 22:55:23 Set Title: closed shutter, Ei=20 meV, run_in_series=126
2018-09-24 22:57:11 Set Title: closed shutter, Ei=20 meV, run_in_series=127
2018-09-24 22:58:59 Set Title: closed shutter, Ei=20 meV, run_in_series=128
2018-09-24 23:00:47 Set Title: closed shutter, Ei=20 meV, run_in_series=129
2018-09-24 23:02:35 Set Title: closed shutter, Ei=20 meV, run_in_series=130
2018-09-24 23:04:23 Set Title: closed shutter, Ei=20 meV, run_in_series=131
2018-09-24 23:06:11 Set Title: closed shutter, Ei=20 meV, run_in_series=132
2018-09-24 23:07:59 Set Title: closed shutter, Ei=20 meV, run_in_series=133
2018-09-24 23:09:47 Set Title: closed shutter, Ei=20 meV, run_in_series=134
2018-09-24 23:11:34 Set Title: closed shutter, Ei=20 meV, run_in_series=135
2018-09-24 23:13:22 Set Title: closed shutter, Ei=20 meV, run_in_series=136
2018-09-24 23:15:10 Set Title: closed shutter, Ei=20 meV, run_in_series=137
2018-09-24 23:16:58 Set Title: closed shutter, Ei=20 meV, run_in_series=138
2018-09-24 23:18:45 Set Title: closed shutter, Ei=20 meV, run_in_series=139
2018-09-24 23:20:33 Set Title: closed shutter, Ei=20 meV, run_in_series=140
2018-09-24 23:22:21 Set Title: closed shutter, Ei=20 meV, run_in_series=141
2018-09-24 23:24:08 Set Title: closed shutter, Ei=20 meV, run_in_series=142
2018-09-24 23:25:56 Set Title: closed shutter, Ei=20 meV, run_in_series=143
2018-09-24 23:27:43 Set Title: closed shutter, Ei=20 meV, run_in_series=144
2018-09-24 23:29:31 Set Title: closed shutter, Ei=20 meV, run_in_series=145
2018-09-24 23:31:18 Set Title: closed shutter, Ei=20 meV, run_in_series=146
2018-09-24 23:33:06 Set Title: closed shutter, Ei=20 meV, run_in_series=147
2018-09-24 23:34:54 Set Title: closed shutter, Ei=20 meV, run_in_series=148
2018-09-24 23:36:41 Set Title: closed shutter, Ei=20 meV, run_in_series=149
2018-09-24 23:38:29 Set Title: closed shutter, Ei=20 meV, run_in_series=150
2018-09-24 23:40:17 Set Title: closed shutter, Ei=20 meV, run_in_series=151
2018-09-24 23:42:04 Set Title: closed shutter, Ei=20 meV, run_in_series=152
2018-09-24 23:43:52 Set Title: closed shutter, Ei=20 meV, run_in_series=153
2018-09-24 23:45:39 Set Title: closed shutter, Ei=20 meV, run_in_series=154
2018-09-24 23:47:27 Set Title: closed shutter, Ei=20 meV, run_in_series=155
2018-09-24 23:49:14 Set Title: closed shutter, Ei=20 meV, run_in_series=156
2018-09-24 23:51:02 Set Title: closed shutter, Ei=20 meV, run_in_series=157
2018-09-24 23:52:50 Set Title: closed shutter, Ei=20 meV, run_in_series=158
2018-09-24 23:54:38 Set Title: closed shutter, Ei=20 meV, run_in_series=159
2018-09-24 23:56:26 Set Title: closed shutter, Ei=20 meV, run_in_series=160
2018-09-24 23:58:14 Set Title: closed shutter, Ei=20 meV, run_in_series=161
2018-09-25 00:00:02 Set Title: closed shutter, Ei=20 meV, run_in_series=162
